person,label
4886f805,0.19816027175930265
0297fc1e,0.47767686376250335
2d681dd8,0.3120718261477851
cccea85e,0.5431238320829332
4c8a8b93,0.5143905035086903
29ebb414,0.2707153672655941
3dc1950f,0.4452186034680169
8ea4c165,0.46877569972080385
d8cfe234,0.40998024880735545
d6bc64df,0.4547679076983232
ec9c4059,0.3924925793920773
d21b8e6b,0.3485787761695462
2a724d87,0.22539102653932663
686c49c9,0.601142931421736
a08d42ea,0.3614482418002122
c98f5cf1,0.4991841380995335
d614c608,0.22775923647042232
e45acd53,0.5736128420595541
7d876393,0.5066864427841582
f5af843f,0.5358753216078393
5a724794,0.4984373986666773
00091926,0.47152967593052036
55d1e0ee,0.3919500015296221
f87be219,0.20719878733681898
49c19e32,0.43625390486674187
bb78c182,0.23532932863800207
e2bfe05f,0.23234926792714117
0e9d0ae2,0.25252462049570257
cb68850c,0.20367824173206817
f30ef764,0.24247299733421912
ca5fa859,0.2547765489272201
4f06f2dd,0.3086733904492493
872d9b83,0.6342227591087501
dca7e4fa,0.3711013763756308
3cb2bfc5,0.2829728473977391
0ec008ff,0.6302180115953959
19876c5b,0.4442287754026715
36606944,0.39960076891928353
3c36c384,0.24155491011950703
25ec69e5,0.24896387458755415
02a9fd4c,0.41524706072453005
e9c847d7,0.3302758998634824
8f7d334b,0.4503895151356103
fd683087,0.5136411893380499
aa5593bc,0.5197068437170532
e39a4b4f,0.4724803472355883
8aeb37ef,0.3931992237081215
c76b8417,0.45026160349271055
b51c3897,0.32308298438163885
49013e40,0.5533614778795998
18ad1f7c,0.4786970872425756
ea679233,0.6336200908689782
39df97e0,0.4884523576816955
4473cb91,0.2346778936681908
a90bb821,0.5011666706739408
66f3c5a8,0.27759625558498413
6972936f,0.2730061740105386
f484e20b,0.6061915594211037
bb5c496a,0.49395636144397737
fa15dd75,0.5302541805418739
8036d563,0.21134058934173494
051b11a7,0.2967241714569526
a708f6b7,0.26727072870299706
8af64425,0.45764672179544835
290a4ade,0.35631732394602167
5ea8fd22,0.30086754642937646
73f02c61,0.5011378756869721
b364ac0f,0.4080498677119818
27c4deeb,0.3868034555316437
1a8f3e6d,0.5755692128569619
75aea7ed,0.264408150559565
68bee360,0.577067189341034
7363f782,0.5249700989137116
5f5a1be2,0.3869931684071627
f2ab91ec,0.3723990633555007
f7e13865,0.4696809385317624
f70a331b,0.4287105726073138
69fe770b,0.26316173921463426
73b5ddeb,0.5181239039326933
3aae4375,0.3855476787397373
2beddf66,0.22331413976288922
17b858f9,0.26584560314428296
f75b14e8,0.35953761925421823
67ec6a13,0.6194198074147199
2466dcee,0.6069256585592802
bbac557c,0.3982469871765149
57d078f9,0.6136917746313217
6791adff,0.35707060204087815
2fca45c7,0.4625738695564332
ee7d1909,0.3106252148103757
b87bf3c0,0.5354034668670845
229a0726,0.32368260839776447
e28fa553,0.4674852286235497
e2d69e04,0.34444280929973925
f99328eb,0.4547420654045417
